category,achievement,description,team,season,week,opponent,value,scope,status
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Benni,2018.0,3.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Benni,2021.0,3.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Benni,2019.0,4.0,,250.0,R,AWARDED
League Achievement,All-Play Wins - 500,Reached 500 all-play wins in league history.,Benni,2023.0,4.0,,500.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Benni,2021.0,11.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Benni,2019.0,3.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Benni,2023.0,10.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Benni,2021.0,1.0,,250.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Benni,2022.0,3.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Erik,2018.0,4.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Erik,2021.0,8.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Erik,2019.0,3.0,,250.0,R,AWARDED
League Achievement,All-Play Wins - 500,Reached 500 all-play wins in league history.,Erik,2023.0,9.0,,500.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Erik,2021.0,11.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Erik,2018.0,9.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Erik,2023.0,2.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Erik,2021.0,5.0,,250.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Erik,2022.0,1.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Juschka,2019.0,1.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Juschka,2023.0,6.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Juschka,2020.0,8.0,,250.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Juschka,2022.0,5.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Juschka,2017.0,10.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Juschka,2021.0,8.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Juschka,2019.0,8.0,,250.0,R,AWARDED
League Achievement,All-Play Losses - 500,Reached 500 all-play losses in league history.,Juschka,2024.0,1.0,,500.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Juschka,2021.0,14.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Kessi,2019.0,1.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Kessi,2023.0,2.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Kessi,2021.0,2.0,,250.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Kessi,2022.0,6.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Kessi,2018.0,7.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Kessi,2021.0,8.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Kessi,2019.0,5.0,,250.0,R,AWARDED
League Achievement,All-Play Losses - 500,Reached 500 all-play losses in league history.,Kessi,2023.0,10.0,,500.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Kessi,2022.0,5.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Marv,2018.0,10.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Marv,2021.0,1.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Marv,2020.0,2.0,,250.0,R,AWARDED
League Achievement,All-Play Wins - 500,Reached 500 all-play wins in league history.,Marv,2025.0,5.0,,500.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Marv,2022.0,1.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Marv,2018.0,3.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Marv,2022.0,12.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Marv,2020.0,3.0,,250.0,R,AWARDED
League Achievement,All-Play Losses - 500,Reached 500 all-play losses in league history.,Marv,2024.0,12.0,,500.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Marv,2022.0,4.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Ritz,2017.0,11.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Ritz,2020.0,14.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Ritz,2019.0,14.0,,250.0,R,AWARDED
League Achievement,All-Play Wins - 500,Reached 500 all-play wins in league history.,Ritz,2024.0,14.0,,500.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Ritz,2022.0,2.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Ritz,2019.0,8.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Ritz,2023.0,8.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Ritz,2020.0,3.0,,250.0,R,AWARDED
League Achievement,All-Play Losses - 500,Reached 500 all-play losses in league history.,Ritz,2025.0,7.0,,500.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Ritz,2022.0,5.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Simi,2018.0,8.0,,25.0,R,AWARDED
League Achievement,Total Wins - 50,Reached 50 total wins in league history.,Simi,2023.0,7.0,,50.0,R,AWARDED
League Achievement,All-Play Wins - 250,Reached 250 all-play wins in league history.,Simi,2020.0,6.0,,250.0,R,AWARDED
League Achievement,All-Play Wins - 500,Reached 500 all-play wins in league history.,Simi,2025.0,12.0,,500.0,R,AWARDED
League Achievement,Total Points - 10000,"Reached 10,000 total points scored in league history.",Simi,2022.0,5.0,,10000.0,R,AWARDED
League Achievement,Total Losses - 25,Reached 25 total losses in league history.,Simi,2018.0,7.0,,25.0,R,AWARDED
League Achievement,Total Losses - 50,Reached 50 total losses in league history.,Simi,2021.0,2.0,,50.0,R,AWARDED
League Achievement,All-Play Losses - 250,Reached 250 all-play losses in league history.,Simi,2019.0,12.0,,250.0,R,AWARDED
League Achievement,All-Play Losses - 500,Reached 500 all-play losses in league history.,Simi,2024.0,9.0,,500.0,R,AWARDED
League Achievement,Total Opponent Points - 10000,"Opponents have scored 10,000 total points against this team.",Simi,2021.0,14.0,,10000.0,R,AWARDED
League Achievement,Total Wins - 25,Reached 25 total wins in league history.,Tommy,2019.0,3.0,,25.0,R,AWARDED
