Season	Week	Team	Elo	IsPlayoff
2015	1	Benni	1482.08	0
2015	1	Erik	1517.92	0
2015	1	Juschka	1486.57	0
2015	1	Kessi	1520.00	0
2015	1	Marv	1513.43	0
2015	1	Ritz	1480.00	0
2015	1	Simi	1520.00	0
2015	1	Tommy	1480.00	0
2015	2	Benni	1476.62	0
2015	2	Erik	1537.67	0
2015	2	Juschka	1469.20	0
2015	2	Kessi	1534.85	0
2015	2	Marv	1493.68	0
2015	2	Ritz	1485.45	0
2015	2	Simi	1505.15	0
2015	2	Tommy	1497.37	0
2015	3	Benni	1458.53	0
2015	3	Erik	1551.94	0
2015	3	Juschka	1452.94	0
2015	3	Kessi	1551.12	0
2015	3	Marv	1511.77	0
2015	3	Ritz	1472.23	0
2015	3	Simi	1518.37	0
2015	3	Tommy	1483.10	0
2015	4	Benni	1468.12	0
2015	4	Erik	1531.89	0
2015	4	Juschka	1471.99	0
2015	4	Kessi	1571.17	0
2015	4	Marv	1523.40	0
2015	4	Ritz	1453.18	0
2015	4	Simi	1508.78	0
2015	4	Tommy	1471.48	0
2015	5	Benni	1488.31	0
2015	5	Erik	1508.89	0
2015	5	Juschka	1454.10	0
2015	5	Kessi	1588.43	0
2015	5	Marv	1506.13	0
2015	5	Ritz	1476.18	0
2015	5	Simi	1526.67	0
2015	5	Tommy	1451.28	0
2015	6	Benni	1467.78	0
2015	6	Erik	1526.07	0
2015	6	Juschka	1474.63	0
2015	6	Kessi	1567.51	0
2015	6	Marv	1497.34	0
2015	6	Ritz	1484.97	0
2015	6	Simi	1509.49	0
2015	6	Tommy	1472.20	0
2015	7	Benni	1453.37	0
2015	7	Erik	1543.13	0
2015	7	Juschka	1457.57	0
2015	7	Kessi	1581.92	0
2015	7	Marv	1478.04	0
2015	7	Ritz	1495.29	0
2015	7	Simi	1528.79	0
2015	7	Tommy	1461.88	0
2015	8	Benni	1476.66	0
2015	8	Erik	1519.84	0
2015	8	Juschka	1478.75	0
2015	8	Kessi	1593.38	0
2015	8	Marv	1456.87	0
2015	8	Ritz	1483.84	0
2015	8	Simi	1532.84	0
2015	8	Tommy	1457.83	0
2015	9	Benni	1482.96	0
2015	9	Erik	1523.95	0
2015	9	Juschka	1463.43	0
2015	9	Kessi	1602.20	0
2015	9	Marv	1452.76	0
2015	9	Ritz	1477.54	0
2015	9	Simi	1524.01	0
2015	9	Tommy	1473.15	0
2015	10	Benni	1495.22	0
2015	10	Erik	1531.49	0
2015	10	Juschka	1485.09	0
2015	10	Kessi	1580.54	0
2015	10	Marv	1440.50	0
2015	10	Ritz	1496.99	0
2015	10	Simi	1504.56	0
2015	10	Tommy	1465.60	0
2015	11	Benni	1515.76	0
2015	11	Erik	1514.30	0
2015	11	Juschka	1467.94	0
2015	11	Kessi	1597.74	0
2015	11	Marv	1435.86	0
2015	11	Ritz	1514.14	0
2015	11	Simi	1484.02	0
2015	11	Tommy	1470.24	0
2015	12	Benni	1520.11	0
2015	12	Erik	1494.29	0
2015	12	Juschka	1448.87	0
2015	12	Kessi	1600.56	0
2015	12	Marv	1433.04	0
2015	12	Ritz	1534.15	0
2015	12	Simi	1503.10	0
2015	12	Tommy	1465.89	0
2015	13	Benni	1525.56	0
2015	13	Erik	1474.80	0
2015	13	Juschka	1443.42	0
2015	13	Kessi	1606.15	0
2015	13	Marv	1446.93	0
2015	13	Ritz	1520.26	0
2015	13	Simi	1522.59	0
2015	13	Tommy	1460.30	0
2015	14	Benni	1549.56	0
2015	14	Erik	1481.62	0
2015	14	Juschka	1436.59	0
2015	14	Kessi	1582.15	0
2015	14	Marv	1432.08	0
2015	14	Ritz	1532.04	0
2015	14	Simi	1537.44	0
2015	14	Tommy	1448.52	0
2015	15	Benni	1570.45	1
2015	15	Erik	1500.79	1
2015	15	Juschka	1417.43	1
2015	15	Kessi	1586.95	1
2015	15	Marv	1411.12	1
2015	15	Ritz	1511.15	1
2015	15	Simi	1532.64	1
2015	15	Tommy	1469.48	1
2015	16	Benni	1593.50	1
2015	16	Erik	1489.31	1
2015	16	Juschka	1395.03	1
2015	16	Kessi	1563.90	1
2015	16	Marv	1433.52	1
2015	16	Ritz	1497.94	1
2015	16	Simi	1545.85	1
2015	16	Tommy	1480.96	1
