block_id,week,teams,players,values
1,16,oG United,Steve Smith · WR · BAL,
2,16,oG United,Mark Ingram · RB · NO,
3,16,oG United,Lamar Miller · RB · MIA,-0.12
4,16,oG United,Chris Ivory · RB · NYJ,
5,16,Fetti EV,Kevin White · WR · FA; Karlos Williams · RB · BUF,
6,16,Fetti EV,Kelvin Benjamin · TE · FA; John Brown · WR · ARI,
7,16,Fetti EV,Arian Foster · RB · FA; Golden Tate · WR · DET,
8,16,Fetti EV,Jordy Nelson · WR · FA; Cairo Santos · K · KC,
9,16,oG United,Tim Tebow · TE · DEN; Travis Kelce · TE · KC,-0.19
10,16,Fetti EV,Jamaal Charles · RB · KC,
11,16,Fetti EV,Ryan Mathews · RB · PHI,
12,16,Fetti EV,Chris Boswell · K · PIT,
13,16,Fetti EV,Kirk Cousins · QB · WAS,-0.91
14,16,Fetti EV,Ryan Mathews · RB · PHI; Ronnie Hillman · RB · DEN,
15,16,Fetti EV,Kirk Cousins · QB · WAS; LeSean McCoy · RB · BUF,0.91
16,16,colin's edelmaenner,Jameis Winston · QB · TB; A.J. McCarron · QB · FA,0.08
17,16,WhoDatNation,Houston Texans · DEF · HOU; New England Patriots · DEF · NE,0.81
18,16,Fetti EV,Golden Tate · WR · DET; Bryce Brown · RB · FA,
19,16,oG United,Christine Michael · RB · FA; Shaun Draughn · RB · CLE,
20,15,Promille Boords,James White · RB · FA; Karlos Williams · RB · BUF,0.83
21,15,colin's edelmaenner,A.J. McCarron · QB · FA; Tyrod Taylor · QB · BUF,
22,15,Fetti EV,Cairo Santos · K · KC; Chris Boswell · K · PIT,
23,15,colin's edelmaenner,Antonio Gates · TE · FA; Jimmy Graham · TE · SEA,
24,15,colin's edelmaenner,Tyrod Taylor · QB · BUF; Andy Dalton · QB · CIN,
25,15,WhoDatNation,Matthew Stafford · QB · DET; Philadelphia Eagles · DEF · PHI,0.51
26,15,Die Punter,Marques Colston · WR · NO; Tavon Austin · WR · LAR,
27,15,Fetti EV,Bryce Brown · RB · FA; Austin Seferian-Jenkins · TE · TB,-0.04
28,15,Fetti EV,Chris Boswell · K · PIT; Cairo Santos · K · KC,
29,15,oG United,Pittsburgh Steelers · DEF · PIT; Green Bay Packers · DEF · GB,
30,15,Promille Boords,Brandon Bolden · RB · NE; LeGarrette Blount · RB · FA,
31,15,Die Punter,Tyler Lockett · WR · SEA; Blaine Gabbert · QB · FA,
32,15,WhoDatNation,New England Patriots · DEF · NE; Buffalo Bills · DEF · BUF,0.88
33,14,oG United,Green Bay Packers · DEF · GB; Kamar Aiken · WR · BAL,-0.96
34,14,Fetti EV,Austin Seferian-Jenkins · TE · TB; Scott Chandler · TE · NE,
35,14,Promille Boords,Julian Edelman · WR · NE; Willie Snead · WR · NO,
36,14,Die Punter,Tavon Austin · WR · LAR; Michael Crabtree · WR · LV,
37,14,oG United,James White · RB · FA,1.69
38,14,oG United,Mark Ingram · RB · NO,
39,14,Die Punter,Charles Sims · RB · TB; Davante Adams · WR · GB,0.82
40,14,Fetti EV,Tim Hightower · RB · FA; James White · RB · FA,2.06
41,14,Fetti EV,DeVante Parker · WR · FA; Tavon Austin · WR · LAR,
42,14,WhoDatNation,Chandler Catanzaro · K · ARI; Jason Myers · K · JAX,1.13
43,14,Die Punter,Blaine Gabbert · QB · FA; Duke Johnson · RB · CLE,
44,14,Amari and Dorial GmbH,Richard Rodgers · TE · GB; Jason Witten · TE · DAL,
45,14,oG United,Shaun Draughn · RB · CLE; Houston Texans · DEF · HOU,-1.88
46,13,Fetti EV,New England Patriots · DEF · NE,2.5
47,13,Promille Boords,DeSean Jackson · WR · WAS; Richard Rodgers · TE · GB,
48,13,colin's edelmaenner,Spencer Ware · RB · FA; Jameis Winston · QB · TB,
49,13,Fetti EV,Mason Crosby · K · GB,
50,13,Die Punter,Duke Johnson · RB · CLE; Carlos Hyde · RB · SF,
51,13,Die Punter,Eric Ebron · TE · DET,
52,13,Fetti EV,Cairo Santos · K · KC; Connor Barth · K · FA,
53,13,oG United,Houston Texans · DEF · HOU; DeSean Jackson · WR · WAS,0.75
54,13,Amari and Dorial GmbH,C.J. Anderson · RB · DEN; Eli Manning · QB · NYG,
55,13,Promille Boords,Cincinnati Bengals · DEF · CIN; New England Patriots · DEF · NE,-1.5
56,13,WhoDatNation,Julius Thomas · TE · FA; Ben Watson · TE · NO,
57,13,WhoDatNation,Jason Myers · K · JAX; Chandler Catanzaro · K · ARI,-1.0
58,13,Fetti EV,Chris Johnson · RB · ARI,
59,12,Fetti EV,Connor Barth · K · FA; Houston Texans · DEF · HOU,-2.19
60,12,oG United,DeSean Jackson · WR · WAS; Jordy Nelson · WR · FA,
61,12,WhoDatNation|oG United,Latavius Murray · RB · LV; Jordy Nelson · WR · FA; Latavius Murray · RB · LV; Jordy Nelson · WR · FA,26.1;-26.1
62,12,colin's edelmaenner|WhoDatNation,Jimmy Graham · TE · SEA; Martavis Bryant · WR · FA; Buffalo Bills · DEF · BUF; John Brown · WR · ARI; Jimmy Graham · TE · SEA; Martavis Bryant · WR · FA; Buffalo Bills · DEF · BUF; John Brown · WR · ARI,-8.9;8.9
63,12,Fetti EV,Tevin Coleman · RB · ATL; Kevin White · WR · FA,
64,12,Fetti EV,Kevin White · WR · FA,
65,12,Fetti EV,Tony Romo · QB · DAL,
66,12,Fetti EV,Mason Crosby · K · GB; Justin Tucker · K · BAL,
67,12,oG United,Spencer Ware · RB · FA; Tavon Austin · WR · LAR,
68,12,Die Punter,Justin Forsett · RB · BAL,
69,12,WhoDatNation,Chandler Catanzaro · K · ARI; Ryan Mathews · RB · PHI,1.56
70,12,WhoDatNation,Jordy Nelson · WR · FA,
71,12,oG United,Kamar Aiken · WR · BAL; Matt Ryan · QB · ATL,2.06
72,12,Die Punter,Javorius Allen · RB · BAL; James White · RB · FA,1.5
73,12,Amari and Dorial GmbH,Thomas Rawls · RB · SEA; Cairo Santos · K · KC,
74,12,colin's edelmaenner,Jameis Winston · QB · TB; Derek Carr · QB · LV,
75,12,WhoDatNation,T.J. Yeldon · RB · JAX,
76,12,WhoDatNation,Dan Bailey · K · DAL,
77,12,WhoDatNation,New York Jets · DEF · NYJ,
78,11,Fetti EV,Kansas City Chiefs · DEF · KC; Cincinnati Bengals · DEF · CIN,8.63
79,11,WhoDatNation|oG United,Philadelphia Eagles · DEF · PHI; Cam Newton · QB · CAR; Philadelphia Eagles · DEF · PHI; Cam Newton · QB · CAR,-26.16;26.16
80,11,Fetti EV,Houston Texans · DEF · HOU; Kamar Aiken · WR · BAL,1.35
81,11,Fetti EV,Cincinnati Bengals · DEF · CIN; Green Bay Packers · DEF · GB,5.25
82,11,Promille Boords,New England Patriots · DEF · NE; Kansas City Chiefs · DEF · KC,-10.13
83,11,colin's edelmaenner,Derek Carr · QB · LV; T.J. Yeldon · RB · JAX,
84,11,Promille Boords|oG United,Blake Bortles · QB · JAX; Matt Ryan · QB · ATL; Blake Bortles · QB · JAX; Matt Ryan · QB · ATL,27.69;-27.69
85,11,Amari and Dorial GmbH|oG United,Matt Forte · RB · CHI; Latavius Murray · RB · LV; Matt Forte · RB · CHI; Latavius Murray · RB · LV,1.09;-1.09
86,11,oG United,Tavon Austin · WR · LAR,
87,11,oG United,Julian Edelman · WR · NE,
88,11,Fetti EV,Tony Romo · QB · DAL; Derek Carr · QB · LV,
89,11,Promille Boords,Kansas City Chiefs · DEF · KC; Pittsburgh Steelers · DEF · PIT,13.88
90,11,Amari and Dorial GmbH,Cairo Santos · K · KC; New England Patriots · DEF · NE,-3.75
91,11,colin's edelmaenner,Danny Amendola · WR · NE; Adam Vinatieri · K · IND,
92,10,Amari and Dorial GmbH|oG United,Latavius Murray · RB · LV; Matt Forte · RB · CHI; Latavius Murray · RB · LV; Matt Forte · RB · CHI,4.29;-4.29
93,10,Promille Boords|oG United,Matt Ryan · QB · ATL; Blake Bortles · QB · JAX; Matt Ryan · QB · ATL; Blake Bortles · QB · JAX,-39.31;39.31
94,10,Fetti EV,Jordan Matthews · TE · PHI; Rishard Matthews · WR · MIA,4.68
95,10,WhoDatNation,Ryan Mathews · RB · PHI; Alfred Blue · RB · HOU,
96,10,Fetti EV,Rishard Matthews · WR · MIA; Kamar Aiken · WR · BAL,-5.34
97,10,Fetti EV,Derek Carr · QB · LV; Tyrod Taylor · QB · BUF,
98,10,Kessinho10,Graham Gano · K · CAR; Matt Bryant · K · ATL,5.69
99,10,Die Punter,James White · RB · FA; Melvin Gordon · RB · LAC,9.32
100,10,Promille Boords,Pittsburgh Steelers · DEF · PIT; Atlanta Falcons · DEF · ATL,
101,10,WhoDatNation,New York Jets · DEF · NYJ; New York Giants · DEF · NYG,
102,10,Amari and Dorial GmbH|oG United,New England Patriots · DEF · NE; Philadelphia Eagles · DEF · PHI; New England Patriots · DEF · NE; Philadelphia Eagles · DEF · PHI,13.13;-13.13
103,10,Die Punter,C.J. Anderson · RB · DEN,
104,9,colin's edelmaenner,Buffalo Bills · DEF · BUF; Larry Donnell · TE · NYG,
105,9,colin's edelmaenner,Adam Vinatieri · K · IND; Duke Johnson · RB · CLE,
106,9,Die Punter,Jeremy Langford · RB · CHI; Danny Amendola · WR · NE,14.55
107,9,Fetti EV,Stevie Johnson · WR · LAC; Malcom Floyd · WR · LAC,
108,9,Promille Boords,Willie Snead · WR · NO,
109,9,Kessinho10,C.J. Spiller · RB · FA; Andre Ellington · RB · ARI,
110,9,Fetti EV,Malcom Floyd · WR · LAC; Marvin Jones · WR · CIN,
111,9,Die Punter,Dan Carpenter · K · BUF; Mason Crosby · K · GB,
112,9,Fetti EV,Cincinnati Bengals · DEF · CIN; Green Bay Packers · DEF · GB,8.5
113,9,Fetti EV,Josh Lambo · K · LAC; Kamar Aiken · WR · BAL,-0.65
114,9,WhoDatNation,New York Giants · DEF · NYG; New York Jets · DEF · NYJ,-1.5
115,9,Die Punter,Michael Crabtree · WR · LV; Ryan Tannehill · QB · MIA,
116,9,Fetti EV,Kamar Aiken · WR · BAL; Ladarius Green · TE · LAC,0.65
117,9,Amari and Dorial GmbH,Eli Manning · QB · NYG; David Johnson · RB · ARI,-17.6
118,9,WhoDatNation,Dan Bailey · K · DAL; Chandler Catanzaro · K · ARI,-2.0
