Rank;Name;Position;Team;Total Points;VORP;;;;;;;;;;;;;;;;;
1;Cam Newton;QB;FA;356,4;82;;;;;;;;;;;;;;;;;
2;Tom Brady;QB;FA;338,4;64;;;;;;;;;;;;;;;;;
3;Russell Wilson;QB;NYG;315,1;40,7;;;;;;;;;;;;;;;;;
4;Blake Bortles;QB;FA;312,6;38,2;;;;;;;;;;;;;;;;;
5;Carson Palmer;QB;FA;302,1;27,7;;;;;;;;;;;;;;;;;
6;Aaron Rodgers;QB;PIT;288,4;14;;;;;;;;;;;;;;;;;
7;Drew Brees;QB;FA;287,8;13,4;;;;;;;;;;;;;;;;;
8;Ryan Fitzpatrick;QB;FA;274,8;0,4;;;;;;;;;;;;;;;;;
9;Kirk Cousins;QB;ATL;274,4;0;;;;;;;;;;;;;;;;;
10;Eli Manning;QB;FA;269,3;0;;;;;;;;;;;;;;;;;
11;Philip Rivers;QB;FA;268,9;0;;;;;;;;;;;;;;;;;
12;Matthew Stafford;QB;LAR;264,9;0;;;;;;;;;;;;;;;;;
13;Derek Carr;QB;FA;260,3;0;;;;;;;;;;;;;;;;;
14;Jameis Winston;QB;NYG;258,6;0;;;;;;;;;;;;;;;;;
15;Alex Smith;QB;FA;254,9;0;;;;;;;;;;;;;;;;;
16;Tyrod Taylor;QB;NYJ;252,2;0;;;;;;;;;;;;;;;;;
17;Andy Dalton;QB;CAR;244,2;0;;;;;;;;;;;;;;;;;
18;Ryan Tannehill;QB;FA;233,6;0;;;;;;;;;;;;;;;;;
1;Devonta Freeman;RB;FA;230;109,9;;;;;;;;;;;;;;;;;
1;Antonio Brown;WR;FA;223,5;85,5;;;;;;;;;;;;;;;;;
2;Julio Jones;WR;FA;218,2;80,2;;;;;;;;;;;;;;;;;
2;Adrian Peterson;RB;FA;217,9;97,8;;;;;;;;;;;;;;;;;
3;Odell Beckham Jr.;WR;FA;217,9;79,9;;;;;;;;;;;;;;;;;
19;Matt Ryan;QB;FA;214,6;0;;;;;;;;;;;;;;;;;
20;Jay Cutler;QB;FA;213,6;0;;;;;;;;;;;;;;;;;
4;Allen Robinson II;WR;FA;213,2;75,2;;;;;;;;;;;;;;;;;
5;Brandon Marshall;WR;FA;211,6;73,6;;;;;;;;;;;;;;;;;
6;DeAndre Hopkins;WR;BAL;211,2;73,2;;;;;;;;;;;;;;;;;
21;Marcus Mariota;QB;WAS;210;0;;;;;;;;;;;;;;;;;
22;Ben Roethlisberger;QB;FA;204,4;0;;;;;;;;;;;;;;;;;
23;Teddy Bridgewater;QB;TB;198,3;0;;;;;;;;;;;;;;;;;
3;DeAngelo Williams;RB;FA;189,3;69,2;;;;;;;;;;;;;;;;;
4;Doug Martin;RB;FA;188,5;68,4;;;;;;;;;;;;;;;;;
5;Todd Gurley II;RB;FA;187,4;67,3;;;;;;;;;;;;;;;;;
7;Doug Baldwin;WR;FA;186,3;48,3;;;;;;;;;;;;;;;;;
1;Rob Gronkowski;TE;FA;181,8;91,6;;;;;;;;;;;;;;;;;
6;Lamar Miller;RB;FA;178,6;58,5;;;;;;;;;;;;;;;;;
8;A.J. Green;WR;FA;178,3;40,3;;;;;;;;;;;;;;;;;
24;Sam Bradford;QB;FA;176,3;0;;;;;;;;;;;;;;;;;
7;David Johnson;RB;FA;167,9;47,8;;;;;;;;;;;;;;;;;
9;Brandin Cooks;WR;BUF;167,4;29,4;;;;;;;;;;;;;;;;;
1;Stephen Gostkowski;K;FA;167;37;;;;;;;;;;;;;;;;;
1;Arizona Cardinals;DST;ARI;165;43;;;;;;;;;;;;;;;;;
8;Chris Ivory;RB;FA;164,6;44,5;;;;;;;;;;;;;;;;;
2;Denver Broncos;DST;DEN;162;40;;;;;;;;;;;;;;;;;
25;Joe Flacco;QB;CIN;161,9;0;;;;;;;;;;;;;;;;;
10;Eric Decker;WR;FA;161,7;23,7;;;;;;;;;;;;;;;;;
3;Kansas City Chiefs;DST;KC;161;39;;;;;;;;;;;;;;;;;
11;Larry Fitzgerald;WR;FA;160;22;;;;;;;;;;;;;;;;;
12;Allen Hurns;WR;FA;159,4;21,4;;;;;;;;;;;;;;;;;
9;Latavius Murray;RB;FA;158,2;38,1;;;;;;;;;;;;;;;;;
10;Danny Woodhead;RB;FA;156,9;36,8;;;;;;;;;;;;;;;;;
