#;Player;Pos;Team;TTL;VORP
1;Aaron Rodgers;QB;PIT;345.8;85.9
1;David Johnson;RB;FA;323.4;175.9
2;Matt Ryan;QB;FA;318;58.1
3;Drew Brees;QB;FA;312.3;52.4
2;Ezekiel Elliott;RB;FA;293.4;145.9
4;Andrew Luck;QB;FA;289.2;29.3
5;Kirk Cousins;QB;ATL;288.8;28.9
6;Dak Prescott;QB;DAL;284.5;24.6
7;Tyrod Taylor;QB;NYJ;270.9;11
8;Derek Carr;QB;FA;268.5;8.6
9;Marcus Mariota;QB;WAS;259.9;0
9;Matthew Stafford;QB;LAR;259.9;0
11;Blake Bortles;QB;FA;256;0
12;Russell Wilson;QB;NYG;253.3;0
13;Ben Roethlisberger;QB;FA;252.2;0
14;Andy Dalton;QB;CAR;247.2;0
3;LeSean McCoy;RB;FA;246.7;99.2
15;Jameis Winston;QB;NYG;246.2;0
16;Cam Newton;QB;FA;246.2;0
17;Philip Rivers;QB;FA;244.1;0
4;Le'Veon Bell;RB;FA;242.4;94.9
5;DeMarco Murray;RB;FA;238.9;91.4
18;Joe Flacco;QB;CIN;233.8;0
19;Tom Brady;QB;FA;232.9;0
20;Carson Palmer;QB;FA;222.9;0
21;Eli Manning;QB;FA;217;0
6;LeGarrette Blount;RB;FA;214.8;67.3
7;Melvin Gordon III;RB;FA;209.6;62.1
8;Devonta Freeman;RB;FA;206.4;58.9
1;Antonio Brown;WR;FA;201.3;74.3
2;Jordy Nelson;WR;FA;201.1;74.1
22;Alex Smith;QB;FA;199.1;0
23;Sam Bradford;QB;FA;198.5;0
3;Mike Evans;WR;TB;195.6;68.6
24;Carson Wentz;QB;MIN;193.9;0
4;Odell Beckham Jr.;WR;FA;191.2;64.2
25;Ryan Tannehill;QB;FA;190.2;0
26;Colin Kaepernick;QB;FA;188.2;0
9;Jordan Howard;RB;FA;187.6;40.1
10;Jay Ajayi;RB;FA;180.4;32.9
27;Trevor Siemian;QB;TEN;178;0
11;Mark Ingram II;RB;FA;177;29.5
5;T.Y. Hilton;WR;FA;173.3;46.3
12;Latavius Murray;RB;FA;172.7;25.2
1;Matt Bryant;K;FA;171;35
1;Justin Tucker;K;FA;171;35
13;Frank Gore;RB;FA;168.6;21.1
6;Brandin Cooks;WR;BUF;166.4;39.4
14;Carlos Hyde;RB;FA;165.1;17.6
7;Julio Jones;WR;FA;161.3;34.3
15;Spencer Ware;RB;FA;160.8;13.3
16;Lamar Miller;RB;FA;160.1;12.6
17;Jeremy Hill;RB;FA;155.3;7.8
8;Doug Baldwin;WR;FA;155.2;28.2
9;Davante Adams;WR;LAR;154.6;27.6
18;Matt Forte;RB;FA;153.6;6.1
19;Isaiah Crowell;RB;FA;150.3;2.8
20;Tevin Coleman;RB;FA;148.2;0.7
28;Brock Osweiler;QB;FA;147.8;0
21;Todd Gurley II;RB;FA;147.5;0
3;Dustin Hopkins;K;FA;147;11
10;Michael Crabtree;WR;FA;145.6;18.6
1;Kansas City Chiefs;DST;KC;144;28
11;Michael Thomas;WR;FA;142.1;15.1
4;Adam Vinatieri;K;FA;142;6
5;Caleb Sturgis;K;FA;141;5
12;Tyrell Williams;WR;FA;140.9;13.9
6;Sebastian Janikowski;K;FA;140;4
6;Matt Prater;K;BUF;140;4
13;Amari Cooper;WR;FA;139.4;12.4
8;Wil Lutz;K;DEN;138;2
1;Travis Kelce;TE;KC;137.2;53.7
2;Denver Broncos;DST;DEN;137;21
9;Nick Novak;K;FA;136;0
10;Graham Gano;K;NYG;135;0
14;Emmanuel Sanders;WR;FA;133.6;6.6
22;Terrance West;RB;FA;133.5;0
11;Dan Bailey;K;FA;132;0
15;Tyreek Hill;WR;MIA;131.9;4.9
23;Ryan Mathews;RB;FA;131.6;0
16;Demaryius Thomas;WR;FA;131.6;4.6
17;Dez Bryant;WR;FA;130;3
12;Stephen Gostkowski;K;FA;130;0
18;Rishard Matthews;WR;FA;129.1;2.1
19;Kenny Britt;WR;FA;128.2;1.2
20;Mike Wallace;WR;FA;127.5;0.5
21;Terrelle Pryor Sr.;WR;FA;127;0
13;Brandon McManus;K;GB;126.6;0
22;Larry Fitzgerald;WR;FA;126.5;0
14;Cairo Santos;K;CHI;126;0
23;Adam Thielen;WR;MIN;125.5;0
24;Jonathan Stewart;RB;FA;125.2;0
2;Greg Olsen;TE;FA;125.1;41.6
15;Stephen Hauschka;K;FA;125;0
16;Jason Myers;K;SEA;124;0
24;Jarvis Landry;WR;FA;123.7;0
25;Jamison Crowder;WR;FA;122.9;0
17;Mason Crosby;K;FA;122;0
26;DeSean Jackson;WR;FA;121.1;0
3;New England Patriots;DST;NE;121;5
3;New York Giants;DST;NYG;121;5
3;Baltimore Ravens;DST;BAL;121;5
27;A.J. Green;WR;FA;120.4;0
6;Arizona Cardinals;DST;ARI;120;4
3;Delanie Walker;TE;FA;119.6;36.1
25;Bilal Powell;RB;FA;119.3;0
28;Kelvin Benjamin;WR;FA;118.8;0
29;Allen Robinson II;WR;FA;118.1;0
4;Jimmy Graham;TE;FA;117.9;34.4
30;Golden Tate;WR;FA;117.7;0
26;Robert Kelley;RB;FA;117.3;0
7;Tampa Bay Buccaneers;DST;TB;117;1
7;Minnesota Vikings;DST;MIN;117;1
29;Ryan Fitzpatrick;QB;FA;117;0
18;Josh Lambo;K;FA;117;0
31;Kenny Stills;WR;FA;116.5;0
9;Philadelphia Eagles;DST;PHI;116;0
32;Sterling Shepard;WR;TB;115.7;0
33;Brandon LaFell;WR;FA;115.3;0
10;Los Angeles Chargers;DST;LAC;114;0
5;Cameron Brate;TE;FA;114;30.5
27;Christine Michael;RB;FA;113.4;0
19;Ryan Succop;K;FA;113;0
34;Pierre Garcon;WR;FA;112.5;0
11;Carolina Panthers;DST;CAR;112;0
35;Willie Snead IV;WR;FA;111.3;0
30;Case Keenum;QB;CHI;111.1;0
36;Steve Smith;WR;FA;110.5;0
37;Marvin Jones Jr.;WR;FA;109.7;0
38;Stefon Diggs;WR;NE;109.3;0
39;Cole Beasley;WR;FA;109.1;0
28;Theo Riddick;RB;FA;108.8;0
40;Julian Edelman;WR;FA;108.6;0
6;Kyle Rudolph;TE;FA;108.3;24.8
12;Atlanta Falcons;DST;ATL;108;0
12;Miami Dolphins;DST;MIA;108;0
41;DeAndre Hopkins;WR;BAL;107.1;0
14;Seattle Seahawks;DST;SEA;107;0
20;Chris Boswell;K;PIT;107;0
29;Darren Sproles;RB;FA;106.9;0
30;Mike Gillislee;RB;FA;105.7;0
42;Taylor Gabriel;WR;FA;105;0
7;Martellus Bennett;TE;FA;103.8;20.3
43;Cameron Meredith;WR;FA;103.3;0
15;Buffalo Bills;DST;BUF;103;0
21;Chandler Catanzaro;K;FA;103;0
44;Quincy Enunwa;WR;FA;102.8;0
45;Marqise Lee;WR;FA;100.8;0
22;Nick Folk;K;NYJ;100;0
46;Dontrelle Inman;WR;FA;99.9;0
23;Dan Carpenter;K;FA;99;0
31;James White;RB;FA;98.7;0
47;Jordan Matthews;TE;FA;98.4;14.9
48;J.J. Nelson;WR;FA;97.6;0
24;Mike Nugent;K;FA;97;0
24;Roberto Aguayo;K;FA;97;0
49;Brandon Marshall;WR;FA;96.8;0
16;Green Bay Packers;DST;GB;96;0
32;Matt Asiata;RB;FA;96;0
33;Tim Hightower;RB;FA;95.9;0
50;Ted Ginn Jr.;WR;FA;95.7;0
51;Anquan Boldin;WR;FA;94.7;0
8;Jordan Reed;TE;FA;94.6;11.1
34;Chris Thompson;RB;FA;94.3;0
17;Pittsburgh Steelers;DST;PIT;94;0
52;DeVante Parker;WR;FA;93.9;0
53;Alshon Jeffery;WR;FA;93.1;0
26;Phil Dawson;K;FA;93;0
18;Las Vegas Raiders;DST;LV;92;0
35;Rashad Jennings;RB;FA;91.7;0
36;Duke Johnson Jr.;RB;FA;90.8;0
37;Ty Montgomery II;RB;FA;90.4;0
27;Andrew Franks;K;FA;90;0
19;Los Angeles Rams;DST;LAR;89;0
19;Dallas Cowboys;DST;DAL;89;0
38;Devontae Booker;RB;FA;88.8;0
54;Tavon Austin;WR;FA;88.8;0
55;Randall Cobb;WR;FA;88.3;0
56;Chris Hogan;WR;FA;88.2;0
39;T.J. Yeldon;RB;FA;87.7;0
40;Jalen Richard;RB;FA;86.7;0
41;C.J. Anderson;RB;FA;86.5;0
28;Connor Barth;K;FA;86;0
57;Travis Benjamin;WR;FA;85.4;0
9;Hunter Henry;TE;NE;83.5;0
9;Coby Fleener;TE;FA;83.5;0
42;Giovani Bernard;RB;FA;83.3;0
11;Antonio Gates;TE;FA;83.3;0
58;Tyler Lockett;WR;LV;83.1;0
29;Cody Parkey;K;FA;83;0
43;Jerick McKinnon;RB;FA;82.4;0
12;Jason Witten;TE;FA;82.3;0
21;Houston Texans;DST;HOU;82;0
22;Cincinnati Bengals;DST;CIN;81;0
22;Washington Commanders;DST;WAS;81;0
30;Greg Zuerlein;K;FA;81;0
59;Mohamed Sanu Sr.;WR;FA;80.6;0
44;Derrick Henry;RB;BAL;79.9;0
13;Zach Ertz;TE;WAS;79.7;0
31;Brian Hoyer;QB;FA;79.6;0
14;Jack Doyle;TE;FA;79.4;0
24;Tennessee Titans;DST;TEN;79;0
15;Charles Clay;TE;FA;77.2;0
16;Eric Ebron;TE;FA;77.1;0
25;Chicago Bears;DST;CHI;77;0
32;Cody Kessler;QB;FA;77;0
60;Jeremy Kerley;WR;FA;76.6;0
45;Chris Ivory;RB;FA;74.5;0
26;Indianapolis Colts;DST;IND;74;0
17;Dennis Pitta;TE;FA;73.8;0
27;Detroit Lions;DST;DET;73;0
46;Robert Turbin;RB;FA;73;0
61;Brian Quick;WR;FA;72.9;0
62;William Fuller V;WR;FA;72.8;0
33;Blaine Gabbert;QB;FA;72.7;0
18;C.J. Fiedorowicz;TE;FA;72.7;0
63;Donte Moncrief;WR;FA;72.6;0
19;Zach Miller;TE;FA;72.6;0
64;Terrance Williams;WR;FA;72.1;0
20;Rob Gronkowski;TE;FA;72;0
65;Eli Rogers;WR;FA;71.9;0
47;Doug Martin;RB;FA;71.5;0
66;Seth Roberts;WR;FA;71.1;0
48;Jacquizz Rodgers;RB;FA;69.9;0
49;Damien Williams;RB;FA;69.6;0
21;Tyler Eifert;TE;FA;69.4;0
67;Michael Floyd;WR;FA;69.2;0
22;Dwayne Allen;TE;FA;69.2;0
68;Adam Humphries;WR;FA;68.6;0
68;Robbie Chosen;WR;WAS;68.6;0
50;Matt Jones;RB;FA;67.3;0
70;Allen Hurns;WR;FA;65.7;0
34;Matt Barkley;QB;FA;65.6;0
23;Vernon Davis;TE;FA;65.4;0
24;Gary Barnidge;TE;FA;65.2;0
71;Tyler Boyd;WR;FA;64.7;0
72;Tajae Sharpe;WR;FA;64.3;0
73;Malcolm Mitchell;WR;FA;64.1;0
74;Robert Woods;WR;FA;63.6;0
75;Devin Funchess;WR;FA;63.1;0
25;Vance McDonald;TE;FA;63.1;0
51;DeAndre Washington;RB;FA;62.5;0
76;John Brown;WR;FA;62.2;0
77;Breshad Perriman;WR;FA;61.9;0
77;Victor Cruz;WR;FA;61.9;0
79;Kendall Wright;WR;FA;61.1;0
28;New Orleans Saints;DST;NO;61;0
52;DeAngelo Williams;RB;FA;60.7;0
80;Marquise Goodwin;WR;FA;60.3;0
81;Phillip Dorsett II;WR;LV;60.2;0
82;Jeremy Maclin;WR;FA;60.2;0
53;Kenneth Dixon;RB;FA;60.1;0
26;Lance Kendricks;TE;FA;58.7;0
29;San Francisco 49ers;DST;SF;58;0
54;Zach Zenner;RB;FA;58;0
55;Shaun Draughn;RB;FA;57;0
31;Blair Walsh;K;FA;57;0
83;Sammie Coates;WR;FA;56.9;0
84;Corey Coleman;WR;FA;55.4;0
56;Thomas Rawls;RB;FA;55.1;0
30;Jacksonville Jaguars;DST;JAC;55;0
32;Kai Forbath;K;FA;54;0
27;Ryan Griffin;TE;FA;53.2;0
85;Jermaine Kearse;WR;FA;52.6;0
28;Clive Walford;TE;FA;52.2;0
35;Josh McCown;QB;FA;52.1;0
29;Julius Thomas;TE;FA;52.1;0
86;Nelson Agholor;WR;FA;52;0
87;Sammy Watkins;WR;FA;51.9;0
57;Paul Perkins;RB;FA;51.6;0
30;Jermaine Gresham;TE;FA;51.1;0
31;Jesse James;TE;FA;50.2;0
36;Robert Griffin III;QB;FA;50;0
88;Dorial Green-Beckham;WR;FA;49.7;0
32;Dion Sims;TE;FA;49.6;0
58;Jeremy Langford;RB;FA;49.5;0
89;Andrew Hawkins;WR;FA;49.5;0
90;Eddie Royal;WR;FA;48.9;0
37;Jared Goff;QB;DET;48.4;0
91;Chris Conley;WR;FA;47.5;0
38;Jay Cutler;QB;FA;46.8;0
92;Albert Wilson;WR;FA;46.7;0
93;Danny Amendola;WR;FA;46.3;0
59;Travaris Cadet;RB;FA;46.2;0
60;Fozzy Whittaker;RB;FA;46.2;0
61;Alfred Blue;RB;FA;46;0
33;Josh Brown;K;FA;46;0
33;Robbie Gould;K;FA;46;0
94;Brandon Coleman;WR;FA;45.3;0
33;Austin Hooper;TE;NE;45.1;0
95;Torrey Smith;WR;FA;44.7;0
62;Jamize Olawale;RB;FA;44.4;0
96;Russell Shepard;WR;FA;44.1;0
34;Garrett Celek;TE;FA;44.1;0
63;C.J. Prosise;RB;FA;44;0
64;Charles Sims;RB;FA;43.9;0
31;New York Jets;DST;NYJ;43;0
65;Charcandrick West;RB;FA;42.5;0
32;Cleveland Browns;DST;CLE;42;0
97;Quinton Patton;WR;FA;40.8;0
35;Will Tye;TE;FA;40.8;0
66;Wendell Smallwood;RB;FA;40.7;0
67;John Kuhn;RB;FA;40.7;0
98;Aldrick Robinson;WR;FA;40.7;0
39;Matt Moore;QB;FA;40.5;0
68;James Starks;RB;FA;39.9;0
99;Brice Butler;WR;FA;39.6;0
36;Jacob Tamme;TE;FA;39;0
69;Eddie Lacy;RB;FA;38.8;0
70;Dwayne Washington;RB;FA;38.7;0
37;Richard Rodgers;TE;FA;37.7;0
71;Kyle Juszczyk;RB;SF;36.7;0
100;Kamar Aiken;WR;FA;36.6;0
38;Levine Toilolo;TE;FA;36.6;0
101;Justin Hunter;WR;FA;36.5;0
39;Ladarius Green;TE;FA;36.4;0
102;Josh Bellamy;WR;FA;36.1;0
40;Jared Cook;TE;FA;36.1;0
72;Alfred Morris;RB;FA;35.9;0
40;Jimmy Garoppolo;QB;LAR;35;0
103;Deonte Thompson;WR;FA;34.9;0
41;Trey Burton;TE;FA;34.8;0
104;Justin Hardy;WR;FA;34;0
73;Kenyan Drake;RB;FA;33.5;0
42;Erik Swoope;TE;FA;33.5;0
74;Justin Forsett;RB;FA;32.6;0
75;Dion Lewis;RB;FA;32.5;0
75;Rex Burkhead;RB;FA;32.5;0
41;Bryce Petty;QB;FA;32.3;0
105;Eric Decker;WR;FA;31.4;0
106;Paul Richardson Jr.;WR;FA;30.8;0
107;Darrius Heyward-Bey;WR;FA;30.8;0
108;Andre Holmes;WR;FA;30.6;0
109;Rod Streater;WR;FA;30.6;0
110;Corey Brown;WR;FA;30.2;0
77;DuJuan Harris;RB;FA;29.4;0
78;Peyton Barber;RB;FA;29.2;0
79;Kenjon Barner;RB;FA;29.1;0
42;Paxton Lynch;QB;FA;28.4;0
43;Jacoby Brissett;QB;ARI;28.3;0
44;Nick Foles;QB;FA;28;0
80;Cameron Artis-Payne;RB;FA;27.5;0
81;Shane Vereen;RB;FA;27.2;0
111;Jordan Taylor;WR;FA;26.8;0
112;Bennie Fowler III;WR;FA;26.5;0
82;Kapri Bibbs;RB;FA;26.4;0
113;Tanner McEvoy;WR;FA;26.1;0
35;Randy Bullock;K;FA;26;0
114;Jeff Janis;WR;FA;25.1;0
115;Bryan Walters;WR;FA;24.7;0
115;Jaron Brown;WR;FA;24.7;0
83;Orleans Darkwa;RB;FA;24.3;0
43;Mychal Rivera;TE;FA;24.3;0
84;Kenneth Farrow;RB;FA;24.2;0
85;Aaron Ripkowski;RB;FA;24;0
117;Cobi Hamilton;WR;FA;24;0
44;Xavier Grimble;TE;FA;23.8;0
118;Jordan Norwood;WR;FA;23.2;0
45;Marcedes Lewis;TE;DEN;22.9;0
119;Andre Roberts;WR;FA;22.8;0
86;Mike Tolbert;RB;FA;22.2;0
120;Charles Johnson;WR;FA;22.1;0
46;C.J. Uzomah;TE;FA;22.1;0
121;Marquess Wilson;WR;FA;22;0
47;Virgil Green;TE;FA;22;0
87;Ameer Abdullah;RB;IND;21.8;0
122;Roger Lewis;WR;FA;21.7;0
48;Austin Seferian-Jenkins;TE;FA;21.4;0
88;Danny Woodhead;RB;FA;21.1;0
123;Harry Douglas;WR;FA;21;0
49;Josh Hill;TE;FA;20.9;0
124;Andre Johnson;WR;FA;20.5;0
50;Darren Waller;TE;MIA;20.5;0
51;Demetrius Harris;TE;FA;20.3;0
52;Anthony Fasano;TE;FA;20.3;0
125;Chester Rogers;WR;FA;20.1;0
126;Kevin White;WR;FA;19.6;0
53;Ed Dickson;TE;FA;19.4;0
89;Bobby Rainey;RB;FA;19.3;0
127;Freddie Martino;WR;FA;19.3;0
90;Benny Cunningham Jr.;RB;FA;19.2;0
91;Alex Collins;RB;FA;19;0
128;Josh Huff;WR;FA;18.8;0
45;Tom Savage;QB;FA;18.5;0
129;Ricardo Louis;WR;FA;18.3;0
54;Jerell Adams;TE;FA;18.2;0
92;Ka'Deem Carey;RB;FA;18.1;0
130;Arrelious Benn;WR;FA;17.6;0
55;Seth DeValve;TE;FA;17.5;0
93;Lance Dunbar;RB;FA;17.4;0
56;MarQueis Gray;TE;FA;17.4;0
131;Vincent Jackson;WR;FA;17.3;0
132;Geronimo Allison;WR;FA;17.1;0
46;Kevin Hogan;QB;FA;16.7;0
94;Reggie Bush;RB;FA;16.7;0
57;Daniel Brown;TE;FA;16.6;0
47;Derek Anderson;QB;FA;16.5;0
133;Brandon Tate;WR;FA;16.5;0
134;Charone Peake;WR;FA;16.4;0
95;Kerwynn Williams;RB;FA;16.3;0
58;Luke Willson;TE;FA;16.3;0
96;Terron Ward;RB;FA;16.2;0
135;Jalin Marshall;WR;FA;16;0
136;Braxton Miller;WR;FA;15.9;0
97;Josh Ferguson;RB;FA;15.6;0
98;Chris Johnson;RB;FA;15.5;0
98;Andre Ellington;RB;FA;15.5;0
59;Stephen Anderson;TE;FA;15.3;0
137;Cecil Shorts;WR;FA;15.2;0
100;Jonathan Grimes;RB;FA;15;0
101;Denard Robinson;RB;FA;14.9;0
138;Greg Salas;WR;FA;14.9;0
60;Brent Celek;TE;FA;14.6;0
61;Tyler Higbee;TE;LAR;14.5;0
139;Walter Powell;WR;FA;14.2;0
102;Mack Brown;RB;FA;14;0
62;A.J. Derby;TE;FA;14;0
63;Brandon Myers;TE;FA;13.9;0
103;Akeem Hunt;RB;FA;13.8;0
104;Andy Janovich;RB;FA;13.7;0
64;Ben Koyack;TE;FA;13.6;0
65;Nick O'Leary;TE;FA;13.4;0
105;Arian Foster;RB;FA;13.3;0
106;Ronnie Hillman;RB;FA;13.3;0
66;Larry Donnell;TE;FA;13.2;0
67;John Phillips;TE;FA;13.2;0
140;Jaelen Strong;WR;FA;13.1;0
140;Markus Wheaton;WR;FA;13.1;0
68;Crockett Gillmore;TE;FA;13.1;0
48;Landry Jones;QB;FA;12.8;0
107;C.J. Spiller;RB;FA;12.8;0
108;Jonathan Williams;RB;FA;12.3;0
109;Corey Grant;RB;FA;12.2;0
142;Brittan Golden;WR;FA;12.2;0
69;Dominique Jones;TE;FA;12.1;0
70;Jordan Cameron;TE;FA;12;0
70;Jeff Heuerman;TE;FA;12;0
143;Cody Core;WR;FA;11.8;0
72;Rhett Ellison;TE;FA;11.8;0
73;Darren Fells;TE;FA;11.7;0
110;Mike Davis;RB;FA;11.5;0
111;Jamaal Charles;RB;FA;11.4;0
112;Patrick DiMarco;RB;FA;11.2;0
49;Drew Stanton;QB;FA;11.1;0
74;Neal Sterling;TE;FA;11;0
144;Chris Harper;WR;FA;10.8;0
50;Shaun Hill;QB;FA;10.5;0
113;Antone Smith;RB;FA;10.4;0
145;Lucky Whitehead;WR;FA;10.2;0
75;Joshua Perkins;TE;FA;10.2;0
146;James Wright;WR;FA;10;0
76;David Johnson;TE;FA;10;0
77;Alan Cross;TE;FA;9.8;0
147;Paul Turner;WR;FA;9.6;0
51;Charlie Whitehurst;QB;FA;9.4;0
78;Tyler Kroft;TE;FA;9.2;0
