#,Player,Pos,Team,TTL,VORP
1,Russell Wilson,QB,NYG,327.5,78.9
1,Todd Gurley II,RB,FA,319.3,187
2,Alex Smith,QB,FA,295.2,46.6
3,Cam Newton,QB,FA,288.4,39.8
4,Carson Wentz,QB,MIN,281.7,33.1
5,Tom Brady,QB,FA,280.3,31.7
6,Kirk Cousins,QB,ATL,270.1,21.5
7,Ben Roethlisberger,QB,FA,260.7,12.1
2,Le'Veon Bell,RB,FA,256.6,124.3
8,Jared Goff,QB,DET,255.3,6.7
9,Drew Brees,QB,FA,248.6,0
10,Dak Prescott,QB,DAL,247.9,0
11,Matthew Stafford,QB,LAR,246.5,0
12,Blake Bortles,QB,FA,246.5,0
13,Philip Rivers,QB,FA,242.4,0
3,Kareem Hunt,RB,KC,232.7,100.4
14,Case Keenum,QB,CHI,226.3,0
4,Melvin Gordon III,RB,FA,217.7,85.4
5,Alvin Kamara,RB,NO,214.6,82.3
6,Mark Ingram II,RB,FA,214.6,82.3
1,DeAndre Hopkins,WR,BAL,213.8,96.6
15,Matt Ryan,QB,FA,210,0
2,Antonio Brown,WR,FA,209.3,92.1
16,Tyrod Taylor,QB,NYJ,207,0
17,Josh McCown,QB,FA,205.4,0
7,LeSean McCoy,RB,FA,201.4,69.1
18,Marcus Mariota,QB,WAS,197.1,0
19,Derek Carr,QB,FA,196.6,0
20,Jacoby Brissett,QB,ARI,195.6,0
21,Andy Dalton,QB,CAR,190,0
1,Jacksonville Jaguars,DST,JAC,186,62
1,Greg Zuerlein,K,FA,182,37
8,Leonard Fournette,RB,FA,180.6,48.3
22,Eli Manning,QB,FA,180.4,0
23,Jameis Winston,QB,NYG,177.9,0
9,Jordan Howard,RB,FA,175.3,43
2,Baltimore Ravens,DST,BAL,171,47
24,Joe Flacco,QB,CIN,170.9,0
25,Deshaun Watson,QB,CLE,168.9,0
2,Stephen Gostkowski,K,FA,166,21
3,Tyreek Hill,WR,MIA,164.2,47
10,Ezekiel Elliott,RB,FA,163.1,30.8
3,Robbie Gould,K,FA,159,14
1,Rob Gronkowski,TE,FA,158.4,76.1
26,Jay Cutler,QB,FA,157.6,0
4,Keenan Allen,WR,LAC,156.9,39.7
3,Philadelphia Eagles,DST,PHI,156,32
3,Los Angeles Rams,DST,LAR,156,32
5,Julio Jones,WR,FA,155.9,38.7
4,Chris Boswell,K,PIT,155,10
11,Carlos Hyde,RB,FA,155,22.7
5,Wil Lutz,K,DEN,154,9
12,Lamar Miller,RB,FA,153.8,21.5
6,Justin Tucker,K,FA,152,7
7,Harrison Butker,K,KC,151,6
27,DeShone Kizer,QB,FA,151,0
2,Travis Kelce,TE,KC,150.5,68.2
6,A.J. Green,WR,FA,150.1,32.9
7,Marvin Jones Jr.,WR,FA,150,32.8
8,Davante Adams,WR,LAR,148.5,31.3
13,Devonta Freeman,RB,FA,147.4,15.1
8,Ryan Succop,K,FA,147,2
9,Larry Fitzgerald,WR,FA,146.9,29.7
10,Michael Thomas,WR,FA,145.1,27.9
9,Kai Forbath,K,FA,145,0
14,Christian McCaffrey,RB,SF,143.2,10.9
10,Matt Bryant,K,FA,143,0
11,Adam Thielen,WR,MIN,142.6,25.4
11,Matt Prater,K,BUF,142,0
12,Brandin Cooks,WR,BUF,141.5,24.3
5,Los Angeles Chargers,DST,LAC,141,17
15,C.J. Anderson,RB,FA,141,8.7
16,Dion Lewis,RB,FA,139.7,7.4
12,Jake Elliott,K,PHI,139,0
13,Alshon Jeffery,WR,FA,138.1,20.9
17,Tevin Coleman,RB,FA,137,4.7
14,Robbie Chosen,WR,WAS,136.7,19.5
6,New Orleans Saints,DST,NO,135,11
18,Frank Gore,RB,FA,133.5,1.2
15,Jarvis Landry,WR,FA,132.8,15.6
19,DeMarco Murray,RB,FA,132.5,0.2
20,Alex Collins,RB,FA,132.4,0.1
21,Marshawn Lynch,RB,FA,132.3,0
28,Aaron Rodgers,QB,PIT,129.6,0
22,Duke Johnson Jr.,RB,FA,128.6,0
7,Detroit Lions,DST,DET,128,4
7,Seattle Seahawks,DST,SEA,128,4
16,Doug Baldwin,WR,FA,127.3,10.1
29,Mitchell Trubisky,QB,BUF,127.2,0
30,Trevor Siemian,QB,TEN,126.1,0
3,Zach Ertz,TE,WAS,126,43.7
13,Stephen Hauschka,K,FA,126,0
13,Graham Gano,K,NYG,126,0
17,Mike Evans,WR,TB,124.6,7.4
9,Carolina Panthers,DST,CAR,124,0
18,Nelson Agholor,WR,FA,123.7,6.5
10,Chicago Bears,DST,CHI,123,0
23,Jerick McKinnon,RB,FA,122.7,0
19,Stefon Diggs,WR,NE,122.5,5.3
20,Devin Funchess,WR,FA,121.2,4
11,Pittsburgh Steelers,DST,PIT,121,0
24,Latavius Murray,RB,FA,119.1,0
15,Phil Dawson,K,FA,118,0
