season,team,playoff_wins,playoff_losses,playoff_points_for,playoff_points_against
2015,Benni,2,0,250.46,166.68
2015,Erik,1,1,257.28000000000003,205.84
2015,Juschka,0,2,200.01999999999998,308.44
2015,Kessi,1,1,210.92000000000002,242.06
2015,Marv,1,1,214.0,198.66
2015,Ritz,0,2,141.32,205.51999999999998
2015,Simi,1,1,197.12,185.56
2015,Tommy,2,0,204.48000000000002,162.84
2016,Benni,1,1,214.18,205.54000000000002
2016,Erik,0,2,176.42000000000002,193.84
2016,Juschka,2,0,220.22,171.51999999999998
2016,Kessi,1,1,181.32,186.12
2016,Marv,1,1,195.5,196.57999999999998
2016,Ritz,2,0,184.46,161.16
2016,Simi,1,1,171.04000000000002,180.62
2016,Tommy,0,2,206.01999999999998,253.77999999999997
2017,Benni,1,1,156.14,180.94
2017,Erik,1,1,190.48000000000002,178.34
2017,Juschka,1,1,202.2,196.86
2017,Kessi,0,1,88.64,130.38
2017,Marv,0,1,83.08,135.94
2017,Ritz,0,2,155.48000000000002,193.72000000000003
2017,Simi,2,0,203.8,152.89999999999998
2017,Tommy,2,0,244.16,154.9
2018,Benni,0,2,201.8,221.01999999999998
2018,Erik,2,0,200.42000000000002,163.28
2018,Juschka,1,1,157.86,189.56
2018,Kessi,1,1,178.82,178.98000000000002
2018,Marv,1,1,145.76,172.2
2018,Ritz,1,1,238.1,227.28
2018,Simi,0,2,196.5,207.04000000000002
2018,Tommy,2,0,215.04,174.94
2019,Benni,0,2,232.76000000000002,257.16
2019,Erik,1,1,254.39999999999998,208.66
2019,Juschka,1,1,161.0,183.57999999999998
2019,Kessi,1,1,205.54,215.9
2019,Marv,2,0,260.08,244.88
2019,Ritz,0,2,157.98000000000002,176.07999999999998
2019,Simi,2,0,230.98000000000002,179.94
2019,Tommy,1,1,205.74,242.28
2020,Benni,1,1,205.1,230.22
2020,Erik,1,1,245.71999999999997,207.88
2020,Juschka,1,1,249.78,231.94
2020,Kessi,2,0,224.68,191.44
2020,Marv,0,2,218.28,244.24
2020,Ritz,2,0,259.15999999999997,196.57999999999998
2020,Simi,0,2,128.04,234.85999999999999
2020,Tommy,1,1,185.72,179.32
2021,Benni,2,0,231.78,192.3
2021,Erik,1,1,143.62,160.24
2021,Juschka,1,1,218.58,200.92000000000002
2021,Kessi,0,2,197.98000000000002,255.10000000000002
2021,Marv,1,1,216.76,209.14
2021,Ritz,1,1,157.2,211.20000000000002
2021,Simi,2,0,247.72000000000003,154.26
2021,Tommy,0,2,135.78,166.26
2022,Benni,1,1,230.10000000000002,214.39999999999998
2022,Erik,2,0,247.42000000000002,200.96
2022,Juschka,1,1,160.94,193.04
2022,Kessi,2,0,191.8,137.92
2022,Marv,0,2,162.48000000000002,185.76
2022,Ritz,1,1,185.76,186.88
2022,Simi,1,1,187.0,185.5
2022,Tommy,0,2,153.85999999999999,214.9
2023,Benni,1,1,155.72000000000003,182.28
2023,Erik,2,0,276.74,136.64
2023,Juschka,1,1,213.9,168.0
2023,Kessi,1,1,200.16,212.14
2023,Marv,0,2,143.95999999999998,216.84
2023,Ritz,2,0,236.18,197.22
2023,Simi,0,2,124.08,240.6
2023,Tommy,1,1,194.84,191.86
2024,Benni,1,1,230.68,190.12
2024,Erik,0,2,172.26,212.66
2024,Juschka,1,1,212.5,209.22
2024,Kessi,1,1,211.85999999999999,232.12
2024,Marv,2,0,277.04,230.84
2024,Ritz,2,0,217.92000000000002,206.07999999999998
2024,Simi,1,1,243.04000000000002,217.76000000000002
2024,Tommy,0,2,232.28,298.78
2025,Benni,0,1,119.86,158.22
2025,Erik,1,0,96.9,92.6
2025,Juschka,1,0,111.68,74.42
2025,Kessi,0,1,89.06,107.5
2025,Marv,1,0,158.22,119.86
2025,Ritz,1,0,107.5,89.06
2025,Simi,0,1,74.42,111.68
2025,Tommy,0,1,92.6,96.9
