season,team,wins,losses,ties,points_for,points_against,points_share_avg,opp_points_share_avg,high_scores,top_scores,top_half_scores,worst_scores,bottom_scores,bottom_half_scores,blowout_wins,blowout_losses,narrow_wins,narrow_losses,all_play_wins,all_play_losses,games,win_pct,all_play_win_pct,winning_record,losing_record,sos_avg_opp_points
2015,Benni,9,5,0,1478.48,1437.7,0.5072915806697667,0.4927084193302334,3,9,11,0,2,3,2,1,1,1,66.0,32.0,14,0.6428571428571429,0.673469387755102,True,False,1331.9542857142858
2015,Erik,8,6,0,1437.9,1468.16,0.49366377870836636,0.5063362212916337,4,9,9,1,5,5,2,4,1,0,60.0,38.0,14,0.5714285714285714,0.6122448979591837,True,False,1337.7514285714285
2015,Juschka,4,10,0,1213.6,1418.36,0.4562279547822075,0.5437720452177925,2,3,6,4,7,8,1,4,0,0,40.0,58.0,14,0.2857142857142857,0.40816326530612246,False,True,1369.7942857142857
2015,Kessi,11,3,0,1448.58,1178.28,0.5542173131086262,0.4457826868913738,1,7,10,1,2,4,6,0,1,0,62.0,36.0,14,0.7857142857142857,0.6326530612244898,True,False,1336.2257142857143
2015,Marv,4,10,0,1210.78,1386.68,0.46740441054480175,0.5325955894551984,0,1,1,2,9,13,0,4,0,3,30.0,68.0,14,0.2857142857142857,0.30612244897959184,False,True,1370.1971428571428
2015,Ritz,8,6,0,1308.28,1272.74,0.5100535198116263,0.48994648018837367,1,3,5,0,6,9,1,1,1,0,42.0,56.0,14,0.5714285714285714,0.42857142857142855,True,False,1356.2685714285712
2015,Simi,8,6,0,1433.68,1281.98,0.5284786246563278,0.4715213753436722,2,7,8,1,5,6,5,1,1,0,54.0,44.0,14,0.5714285714285714,0.5510204081632653,True,False,1338.3542857142857
2015,Tommy,4,10,0,1270.86,1358.26,0.48266281771827757,0.5173371822817224,1,3,6,5,6,8,0,2,1,2,38.0,60.0,14,0.2857142857142857,0.3877551020408163,False,True,1361.6142857142856
2016,Benni,7,7,0,1377.32,1358.56,0.5053942237565179,0.4946057762434822,2,5,9,1,4,5,2,2,1,2,52.0,46.0,14,0.5,0.5306122448979592,False,False,1362.4485714285713
2016,Erik,9,5,0,1472.24,1366.3400000000001,0.5166613622163521,0.48333863778364794,2,7,9,1,2,5,5,1,3,0,63.0,35.0,14,0.6428571428571429,0.6428571428571429,True,False,1348.8885714285716
2016,Juschka,6,8,0,1246.66,1389.48,0.47377708274078634,0.5262229172592138,1,2,3,5,9,11,1,4,0,1,31.0,67.0,14,0.42857142857142855,0.3163265306122449,False,True,1381.1142857142856
2016,Kessi,7,7,0,1364.88,1298.28,0.5160348174980803,0.48396518250191967,3,6,7,0,7,7,3,2,1,3,50.0,48.0,14,0.5,0.5102040816326531,False,False,1364.2257142857143
2016,Marv,10,4,0,1596.64,1310.3,0.5508959438485571,0.4491040561514429,3,11,12,0,0,2,6,0,1,1,75.0,23.0,14,0.7142857142857143,0.7653061224489796,True,False,1331.1171428571429
2016,Ritz,8,6,0,1373.4,1368.34,0.5016838036895136,0.49831619631048646,2,5,7,4,4,7,2,3,0,1,47.0,51.0,14,0.5714285714285714,0.47959183673469385,True,False,1363.0085714285713
2016,Simi,3,11,0,1244.84,1420.92,0.46687380811927753,0.5331261918807224,1,2,4,2,7,10,1,3,0,1,37.0,61.0,14,0.21428571428571427,0.37755102040816324,False,True,1381.3742857142859
2016,Tommy,6,8,0,1238.48,1402.24,0.46867895813091515,0.5313210418690849,0,4,5,1,9,9,0,5,4,1,37.0,61.0,14,0.42857142857142855,0.37755102040816324,False,True,1382.282857142857
2017,Benni,7,7,0,1333.5,1389.48,0.49116781922636166,0.5088321807736383,1,4,7,0,6,7,1,2,1,1,49.0,49.0,14,0.5,0.5,False,False,1312.0742857142857
2017,Erik,7,7,0,1459.98,1370.52,0.5122790584356985,0.48772094156430146,5,8,10,2,3,4,4,1,0,1,64.0,34.0,14,0.5,0.6530612244897959,False,False,1294.0057142857145
2017,Juschka,5,9,0,1195.06,1328.18,0.46974448989037826,0.5302555101096218,1,4,6,3,7,8,0,3,2,2,40.0,58.0,14,0.35714285714285715,0.40816326530612246,False,True,1331.8514285714284
2017,Kessi,6,8,0,1190.3,1328.94,0.48089181275578896,0.519108187244211,0,4,5,4,7,9,2,4,0,0,33.0,65.0,14,0.42857142857142855,0.336734693877551,False,True,1332.5314285714285
2017,Marv,6,8,0,1271.3,1263.68,0.5033321431642952,0.49666785683570486,2,3,5,2,7,9,0,0,1,2,42.0,56.0,14,0.42857142857142855,0.42857142857142855,False,True,1320.9599999999998
2017,Ritz,9,5,0,1271.44,1201.64,0.5190203982810068,0.48097960171899334,0,3,5,0,7,9,2,2,2,1,43.0,55.0,14,0.6428571428571429,0.4387755102040816,True,False,1320.94
