Season,Week,Points.11,TE,BN.1,RB,Points.1,WR.1,K,BN.4,Points.14,Points.20,BN.13,BN.3,Opponent Total,Points.10,BN.10,Points.7,Points.18,Total,Points.5,WR,Rank,Points.8,BN.5,Points.16,BN.7,Points.17,Points.15,Points.21,Points.22,Owner,BN.9,RES.1,BN.11,Points.3,BN,Points,Points.13,BN.2,Points.12,Points.2,QB,Points.4,RES,Opponent,DEF,Points.9,BN.6,BN.8,Points.19,W/R,RB.1,BN.12,Points.6
2015,1,4.1,J. Cameron TE - MIA ,M. Stafford QB - DET ,L. McCoy RB - BUF ,8.7,O. Beckham WR - NYG ,J. Tucker K - BAL ,V. Cruz WR - NYG ,10.70,,,A. Gates TE - LAC ,118.14,13.74,,9.0,,93.5,7.3,D. Hopkins WR - HOU ,5,14.0,J. Randle RB ,,,,,,,Benni,,,,23.8,D. Jackson WR - WAS ,4.9,0.0,J. Bell RB - DET ,0.0,4.8,P. Manning QB - DEN ,4.4,,Erik,Rams DEF ,0.0,,,,K. Allen WR - LAC ,C. Anderson RB - DEN ,,16.6
2015,1,8.4,T. Kelce TE - KC ,P. Rivers QB - LAC ,J. Charles RB - KC ,16.3,A. Brown WR - PIT ,S. Gostkowski K - NE ,L. Murray RB - LV ,16.00,,,G. Bernard RB - CIN ,93.5,19.92,,4.0,,118.14,22.6,D. Thomas WR - DEN ,1,5.0,Ravens DEF ,,,,,,,Erik,,,,6.0,J. Witten TE - DAL ,22.14,8.0,R. White WR - ATL ,8.8,14.0,T. Romo QB - DAL ,19.3,,Benni,Eagles DEF ,18.0,,,,T. Hilton WR - IND ,D. Murray RB - PHI ,,8.8
2015,1,2.4,R. Gronkowski TE - NE ,A. Foster RB - HOU ,J. Forsett RB - BAL ,5.6,R. Cobb WR - GB ,M. Crosby K - GB ,A. Johnson WR - IND ,15.40,,,C. Kaepernick QB - SF ,114.14,0.0,,7.0,,73.94,27.4,J. Maclin WR - KC ,7,2.0,A. Abdullah RB - DET ,,,,,,,Ritz,,,,5.2,J. Stewart RB - CAR ,11.74,2.4,G. Tate WR - DET ,10.7,4.7,R. Tannehill QB - MIA ,9.8,,Kessi,Texans DEF ,8.1,,,,N. Agholor WR - PHI ,M. Gordon RB - LAC ,,0.5
2015,1,12.2,J. Graham TE - SEA ,C. Newton QB - CAR ,A. Morris RB - WAS ,12.1,B. Cooks WR - NO ,D. Bailey K - DAL ,J. Brown WR - ARI ,17.00,,,F. Gore RB - IND ,75.7,12.5,,9.0,,91.06,11.1,C. Johnson WR - DET ,4,4.0,Jets DEF ,,,,,,,Marv,,,,3.9,C. Spiller RB - NO ,23.06,10.6,B. Marshall WR - NYJ ,3.1,15.9,A. Rodgers QB - GB ,5.3,,Juschka,Packers DEF ,0.0,,,,J. Landry WR - MIA ,E. Lacy RB - GB ,,6.7
2015,1,2.7,M. Bennett TE - CHI ,D. Martin RB - TB ,M. Forte RB - CHI ,22.6,A. Cooper WR - LV ,C. Parkey K - PHI ,D. Green-Beckham WR - TEN ,5.00,,,T. Coleman RB - ATL ,64.72,5.4,,6.0,,99.04,11.5,A. Green WR - CIN ,3,19.0,Patriots DEF ,,,,,,,Simi,,,,6.3,M. Ryan QB - ATL ,15.14,0.0,A. Robinson WR - JAC ,8.0,7.5,R. Wilson QB - SEA ,4.7,,Tommy,Seahawks DEF ,16.62,,,,M. Wallace WR - MIN ,L. Miller RB - MIA ,,6.3
2015,1,0.0,C. Clay TE - BUF ,J. Thomas TE - JAC ,A. Peterson RB - MIN ,5.2,A. Jeffery WR - CHI ,S. Hauschka K - SEA ,T. Yeldon RB - JAC ,5.00,,,C. Hyde RB - SF ,99.04,0.0,,11.0,,64.72,4.3,D. Bryant WR - DAL ,8,9.0,Cardinals DEF ,,,,,,,Tommy,,,,4.8,J. Edelman WR - NE ,17.72,6.7,M. Bryant WR - PIT ,30.2,4.9,A. Luck QB - IND ,7.8,,Simi,Bills DEF ,10.6,,,,S. Watkins WR - BUF ,A. Blue RB - HOU ,,0.0
2015,1,4.7,C. Fleener TE - IND ,T. Smith WR - SF ,M. Ingram RB - NO ,12.2,D. Adams WR - GB ,R. Bullock K - NYJ ,C. Ivory RB - NYJ ,-,,,S. Smith WR - BAL ,91.06,1.1,,6.0,,75.7,2.5,M. Evans WR - TB ,6,10.0,-,,,,,,,Juschka,,,,0.0,R. Mathews RB - PHI ,16.5,22.0,V. Davis TE - DEN ,1.3,12.4,D. Brees QB - NO ,5.9,,Marv,Bengals DEF ,8.8,,,,J. Matthews WR - PHI ,M. Lynch RB - SEA ,,10.2
2015,1,4.6,G. Olsen TE - CAR ,T. Brady QB - NE ,A. Ellington RB - ARI ,11.6,J. Jones WR - ATL ,M. Bryant K - ATL ,T. Gurley RB - STL ,0.00,,,L. Bell RB - PIT ,73.94,27.62,,14.0,,114.14,1.1,E. Sanders WR - DEN ,2,15.0,J. Hayne RB - SF ,,,,,,,Kessi,,,,6.5,B. LaFell WR - NE ,18.04,0.0,Z. Ertz TE - PHI ,0.0,18.3,B. Roethlisberger QB - PIT ,26.1,,Ritz,Dolphins DEF ,0.0,,,,D. McFadden RB - DAL ,J. Hill RB - CIN ,,3.5
2015,2,0.0,J. Cameron TE - MIA ,P. Manning QB - DEN ,L. McCoy RB - BUF ,11.6,O. Beckham WR - NYG ,J. Tucker K - BAL ,J. Randle RB ,18.2,,,T. Williams WR - DAL ,90.96,20.24,,15.0,,86.4,6.2,D. Hopkins WR - HOU ,7,4.0,D. Moncrief WR - IND ,,,,,,,Benni,,,,5.3,J. Bell RB - DET ,21.2,6.5,A. Gates TE - LAC ,14.4,2.9,C. Palmer QB - ARI ,20.6,,Ritz,Rams DEF ,1.8,,,,K. Allen WR - LAC ,C. Anderson RB - DEN ,,-0.4
2015,2,14.14,T. Kelce TE - KC ,J. Witten TE - DAL ,J. Charles RB - KC ,14.7,A. Brown WR - PIT ,S. Gostkowski K - NE ,T. Hilton WR - IND ,8.0,,,R. White WR - ATL ,67.96,5.6,,18.0,,103.8,5.8,D. Thomas WR - DEN ,1,-1.0,Eagles DEF ,,,,,,,Erik,,,,11.6,L. Blount RB - NE ,7.0,4.5,P. Rivers QB - LAC ,0.0,5.5,T. Romo QB - DAL ,27.5,,Marv,Ravens DEF ,0.4,,,,L. Murray RB - LV ,D. Murray RB - PHI ,,14.7
