Owner,Player,PlayerKey,DraftCount,DraftSeasonsCount,DraftYears
Marv,Wil Lutz,n:wil lutz,6,6,"2017,2018,2019,2020,2021,2022"
Erik,Christian McCaffrey,n:christian mccaffrey,5,5,"2020,2021,2022,2023,2024"
Simi,Russell Wilson,n:russell wilson,5,5,"2015,2016,2017,2020,2021"
Benni,David Johnson,n:david johnson,4,4,"2017,2018,2020,2021"
Erik,Chris Godwin,n:chris godwin,4,4,"2020,2022,2024,2025"
Juschka,Marshawn Lynch,n:marshawn lynch,4,4,"2015,2017,2018,2020"
Juschka,Stefon Diggs,n:stefon diggs,4,4,"2018,2019,2021,2023"
Kessi,Jonathan Taylor,n:jonathan taylor,4,4,"2020,2022,2023,2024"
Marv,Leonard Fournette,n:leonard fournette,4,4,"2017,2018,2021,2022"
Tommy,San Francisco 49ers,n:san francisco 49ers,4,4,"2015,2021,2022,2025"
Benni,Chris Godwin,n:chris godwin,3,3,"2019,2021,2023"
Benni,Dalvin Cook,n:dalvin cook,3,3,"2017,2019,2021"
Benni,Davante Adams,n:davante adams,3,3,"2019,2021,2023"
Benni,James Conner,n:james conner,3,3,"2019,2022,2025"
Benni,Odell Beckham,n:odell beckham,3,3,"2015,2016,2018"
Benni,Travis Kelce,n:travis kelce,3,3,"2016,2022,2023"
Erik,Calvin Ridley,n:calvin ridley,3,3,"2019,2020,2023"
Erik,CeeDee Lamb,n:ceedee lamb,3,3,"2022,2023,2025"
Erik,Ezekiel Elliott,n:ezekiel elliott,3,3,"2016,2017,2018"
Erik,Travis Kelce,n:travis kelce,3,3,"2015,2017,2018"
Juschka,Demaryius Thomas,n:demaryius thomas,3,3,"2015,2016,2017"
Juschka,Drew Brees,n:drew brees,3,3,"2015,2018,2019"
Juschka,Jarvis Landry,n:jarvis landry,3,3,"2016,2017,2019"
Juschka,Josh Jacobs,n:josh jacobs,3,3,"2020,2022,2025"
Kessi,Cooper Kupp,n:cooper kupp,3,3,"2019,2021,2024"
Kessi,George Kittle,n:george kittle,3,3,"2020,2023,2024"
Marv,A.J. Brown,n:aj brown,3,3,"2021,2022,2024"
Marv,Corey Davis,n:corey davis,3,3,"2017,2018,2019"
Marv,DeAndre Hopkins,n:deandre hopkins,3,3,"2016,2018,2022"
Marv,Joe Mixon,n:joe mixon,3,3,"2017,2021,2022"
Marv,Josh Allen,n:josh allen,3,3,"2021,2024,2025"
Marv,New Orleans Saints,n:new orleans saints,3,3,"2015,2016,2022"
Marv,Terry McLaurin,n:terry mclaurin,3,3,"2020,2022,2024"
Marv,Travis Kelce,n:travis kelce,3,3,"2019,2020,2021"
Ritz,Alvin Kamara,n:alvin kamara,3,3,"2018,2022,2025"
Ritz,Amari Cooper,n:amari cooper,3,3,"2019,2021,2022"
Ritz,Keenan Allen,n:keenan allen,3,3,"2016,2017,2020"
Ritz,Mike Evans,n:mike evans,3,3,"2018,2020,2023"
Ritz,Pittsburgh Steelers,n:pittsburgh steelers,3,3,"2016,2021,2025"
Ritz,Rob Gronkowski,n:rob gronkowski,3,3,"2015,2016,2021"
Simi,A.J. Green,n:aj green,3,3,"2015,2018,2019"
Simi,Derrick Henry,n:derrick henry,3,3,"2019,2022,2024"
Simi,JuJu Smith-Schuster,n:juju smith schuster,3,3,"2019,2020,2022"
Tommy,Alvin Kamara,n:alvin kamara,3,3,"2019,2021,2024"
Tommy,Julian Edelman,n:julian edelman,3,3,"2015,2017,2019"
Tommy,Michael Thomas,n:michael thomas,3,3,"2018,2019,2020"
Tommy,Sammy Watkins,n:sammy watkins,3,3,"2015,2016,2019"
Tommy,Saquon Barkley,n:saquon barkley,3,3,"2023,2024,2025"
Benni,Aaron Rodgers,n:aaron rodgers,2,2,"2018,2019"
Benni,Brandin Cooks,n:brandin cooks,2,2,"2017,2022"
Benni,Christian McCaffrey,n:christian mccaffrey,2,2,"2017,2018"
Benni,Denver Broncos,n:denver broncos,2,2,"2016,2025"
Benni,Derrius Guice,n:derrius guice,2,2,"2018,2019"
Benni,Javonte Williams,n:javonte williams,2,2,"2021,2024"
Benni,Jaylen Waddle,n:jaylen waddle,2,2,"2022,2024"
Benni,Jordan Reed,n:jordan reed,2,2,"2017,2019"
Benni,Justin Jefferson,n:justin jefferson,2,2,"2021,2025"
Benni,Justin Tucker,n:justin tucker,2,2,"2015,2020"
Benni,Kareem Hunt,n:kareem hunt,2,2,"2021,2022"
Benni,Lamar Jackson,n:lamar jackson,2,2,"2020,2023"
Benni,Los Angeles Rams,n:los angeles rams,2,2,"2015,2021"
Benni,Malik Nabers,n:malik nabers,2,2,"2024,2025"
Benni,Mark Ingram,n:mark ingram,2,2,"2016,2018"
Benni,Mike Williams,n:mike williams,2,2,"2022,2023"
Benni,Robert Woods,n:robert woods,2,2,"2019,2020"
Benni,Ronald Jones,n:ronald jones,2,2,"2020,2021"
Benni,Sammy Watkins,n:sammy watkins,2,2,"2017,2018"
Benni,T.Y. Hilton,n:ty hilton,2,2,"2017,2019"
Benni,Tom Brady,n:tom brady,2,2,"2016,2022"
Erik,Allen Robinson,n:allen robinson,2,2,"2020,2022"
Erik,Alshon Jeffery,n:alshon jeffery,2,2,"2016,2018"
Erik,Amari Cooper,n:amari cooper,2,2,"2017,2024"
Erik,Brandin Cooks,n:brandin cooks,2,2,"2019,2021"
Erik,Brandon Aiyuk,n:brandon aiyuk,2,2,"2021,2023"
Erik,Breshad Perriman,n:breshad perriman,2,2,"2015,2016"
Erik,C.J. Anderson,n:cj anderson,2,2,"2017,2018"
Erik,Cam Akers,n:cam akers,2,2,"2020,2022"
Erik,Denver Broncos,n:denver broncos,2,2,"2017,2023"
Erik,Greg Zuerlein,n:greg zuerlein,2,2,"2019,2020"
Erik,Gus Edwards,n:gus edwards,2,2,"2021,2024"
Erik,Jacksonville Jaguars,n:jacksonville jaguars,2,2,"2018,2019"
Erik,Jerry Jeudy,n:jerry jeudy,2,2,"2022,2023"
Erik,Joe Mixon,n:joe mixon,2,2,"2023,2024"
Erik,Justin Tucker,n:justin tucker,2,2,"2018,2023"
Erik,Keenan Allen,n:keenan allen,2,2,"2019,2021"
Erik,Kyler Murray,n:kyler murray,2,2,"2020,2024"
Erik,Le'Veon Bell,n:leveon bell,2,2,"2016,2017"
Erik,Mike Evans,n:mike evans,2,2,"2015,2016"
Erik,Najee Harris,n:najee harris,2,2,"2021,2025"
Erik,Philadelphia Eagles,n:philadelphia eagles,2,2,"2015,2020"
Erik,Robert Woods,n:robert woods,2,2,"2018,2021"
Erik,Russell Wilson,n:russell wilson,2,2,"2018,2022"
Erik,Stephen Gostkowski,n:stephen gostkowski,2,2,"2015,2017"
Juschka,Adrian Peterson,n:adrian peterson,2,2,"2019,2021"
Juschka,Austin Ekeler,n:austin ekeler,2,2,"2019,2021"
Juschka,Brian Robinson,n:brian robinson,2,2,"2023,2024"
Juschka,Chris Ivory,n:chrisory,2,2,"2015,2016"
Juschka,D'Andre Swift,n:dandre swift,2,2,"2024,2025"
Juschka,Davante Adams,n:davante adams,2,2,"2017,2025"
Juschka,Devonta Freeman,n:devonta freeman,2,2,"2016,2017"
Juschka,Drake London,n:drake london,2,2,"2023,2024"
Juschka,Garrett Wilson,n:garrett wilson,2,2,"2024,2025"
Juschka,Ja'Marr Chase,n:jamarr chase,2,2,"2022,2025"
Juschka,Jordan Matthews,n:jordan matthews,2,2,"2015,2016"
