Year;Owner;PickupsCount;TotalPickupScore;AvgPickupScore;Top3AvgScore;BestPickupScore;BestPickupPlayer;TotalPickupPoints;AvgPickupPoints
2025;Benni;19;958.05;50.42;85.12;88.39;Emeka Egbuka;688.18;36.22
2025;Erik;23;941.1;40.92;72.44;74.93;Woody Marks;463.74;20.16
2025;Ritz;14;704.55;50.33;82.0;84.72;Daniel Jones;444.98;31.78
2025;Simi;7;408.04;58.29;69.55;86.5;Matthew Stafford;353.82;50.55
2025;Marv;5;257.8;51.56;62.7;71.72;Dallas Goedert;143.76;28.75
2025;Juschka;4;219.15;54.79;65.86;72.4;Parker Washington;157.54;39.38
2025;Tommy;4;205.45;51.36;61.26;70.58;Jared Goff;137.72;34.43
2025;Kessi;2;160.59;80.3;80.3;94.47;Drake Maye;308.1;154.05
2024;Erik;19;804.39;42.34;80.79;87.02;Baker Mayfield;485.88;25.57
2024;Benni;16;803.76;50.23;84.97;95.13;Jayden Daniels;666.2;41.64
2024;Ritz;14;778.66;55.62;83.75;89.47;Jordan Addison;476.36;34.03
2024;Marv;10;476.23;47.62;80.17;89.72;J.K. Dobbins;328.08;32.81
2024;Juschka;10;432.46;43.25;60.76;63.22;Sam Darnold;185.08;18.51
2024;Simi;5;372.43;74.49;80.71;91.03;Chuba Hubbard;414.18;82.84
2024;Kessi;6;299.9;49.98;66.98;72.19;Jordan Love;143.96;23.99
2024;Tommy;5;272.55;54.51;74.33;83.69;Rico Dowdle;212.9;42.58
2023;Benni;14;803.35;57.38;86.03;90.74;Puka Nacua;658.22;47.02
2023;Ritz;13;721.44;55.5;86.25;94.51;Kyren Williams;691.86;53.22
2023;Juschka;11;624.38;56.76;71.91;83.9;Sam LaPorta;414.32;37.67
2023;Marv;11;594.62;54.06;80.87;88.41;Kirk Cousins;434.02;39.46
2023;Erik;14;592.65;42.33;69.03;76.46;Kyler Murray;298.9;21.35
2023;Tommy;8;350.19;43.77;67.13;77.18;D'Onta Foreman;181.2;22.65
2023;Kessi;6;258.52;43.09;56.08;60.97;Jaylen Warren;108.86;18.14
2023;Simi;4;145.36;36.34;44.93;89.14;Dak Prescott;195.4;48.85
2022;Juschka;18;817.02;45.39;72.61;91.0;Jeffery Wilson;378.28;21.02
2022;Benni;15;763.02;50.87;89.44;93.64;Dameon Pierce;589.72;39.31
2022;Ritz;10;514.17;51.42;75.0;76.61;Kirk Cousins;294.86;29.49
2022;Erik;10;497.58;49.76;71.79;87.2;Tua Tagovailoa;290.02;29.0
